Enum Name,Bukkit Material Name,Normaler Name,Datei Name,Potion Type,Translation Name
ANDESITE_WALL,ANDESITE_WALL,Andesitmauer,customfont/all_items/wall_andesite.png,,
ANVIL,ANVIL,Amboss,customfont/all_items/anvil.png,,
ANVIL_CHIPPED,CHIPPED_ANVIL,Angeschlagener Amboss,customfont/all_items/anvil_chipped.png,,
ANVIL_DAMAGED,DAMAGED_ANVIL,Beschädigter Amboss,customfont/all_items/anvil_damaged.png,,
APPLE,APPLE,Apfel,item/apple.png,,
APPLE_GOLDEN,GOLDEN_APPLE,Goldener Apfel,item/golden_apple.png,,
APPLE_GOLDEN_ENCHANTED,ENCHANTED_GOLDEN_APPLE,Verzauberter goldener Apfel,customfont/all_items/enchanted_golden_apple.png,,
ARMADILLO_SCUTE,ARMADILLO_SCUTE,Gürteltier-Hornschild,item/armadillo_scute.png,,
ARMOR_STAND,ARMOR_STAND,Rüstungsständer,item/armor_stand.png,,
ARROW,ARROW,Pfeil,item/arrow.png,,
AZALEA,AZALEA,Azalee,customfont/all_items/azalea.png,,
AZALEA_LEAVES,AZALEA_LEAVES,Azaleenlaub,customfont/all_items/azalea_leaves.png,,
AZURE_BLUET,AZURE_BLUET,Porzellansternchen,block/azure_bluet.png,,
BAMBOO,BAMBOO,Bambus,item/bamboo.png,,
BAMBOO_BLOCK,BAMBOO_BLOCK,Bambusblock,customfont/all_items/bamboo_block.png,,
BAMBOO_BUTTON,BAMBOO_BUTTON,Bambusknopf,customfont/all_items/button_bamboo.png,,
BAMBOO_CHEST_RAFT,BAMBOO_CHEST_RAFT,Bambus-Truhenfloß,item/bamboo_chest_raft.png,,
BAMBOO_DOOR,BAMBOO_DOOR,Bambustür,item/bamboo_door.png,,
BAMBOO_FENCE,BAMBOO_FENCE,Bambuszaun,customfont/all_items/fence_bamboo.png,,
BAMBOO_FENCE_GATE,BAMBOO_FENCE_GATE,Bambuszauntor,customfont/all_items/fence_gate_bamboo.png,,
BAMBOO_HANGING_SIGN,BAMBOO_HANGING_SIGN,Bambushängeschild,item/bamboo_hanging_sign.png,,
BAMBOO_MOSAIC,BAMBOO_MOSAIC,Bambusmosaik,customfont/all_items/bamboo_mosaic.png,,
BAMBOO_MOSAIC_SLAB,BAMBOO_MOSAIC_SLAB,Bambusmosaikstufe,customfont/all_items/slab_bamboo_mosaic.png,,
BAMBOO_MOSAIC_STAIRS,BAMBOO_MOSAIC_STAIRS,Bambusmosaiktreppe,customfont/all_items/stairs_bamboo_mosaic.png,,
BAMBOO_PLANKS,BAMBOO_PLANKS,Bambusbretter,customfont/all_items/bamboo_planks.png,,
BAMBOO_PRESSURE_PLATE,BAMBOO_PRESSURE_PLATE,Bambusdruckplatte,customfont/all_items/pressure_plate_bamboo.png,,
BAMBOO_RAFT,BAMBOO_RAFT,Bambusfloß,item/bamboo_raft.png,,
BAMBOO_SIGN,BAMBOO_SIGN,Bambusschild,item/bamboo_sign.png,,
BAMBOO_SLAB,BAMBOO_SLAB,Bambusstufe,customfont/all_items/slab_bamboo.png,,
BAMBOO_STAIRS,BAMBOO_STAIRS,Bambustreppe,customfont/all_items/stairs_bamboo.png,,
BAMBOO_TRAPDOOR,BAMBOO_TRAPDOOR,Bambusfallltür,customfont/all_items/trapdoor_bamboo.png,,
BANNER_BLACK,BLACK_BANNER,Schwarzes Banner,customfont/all_items/banner_black.png,,
BANNER_BLUE,BLUE_BANNER,Blaues Banner,customfont/all_items/banner_blue.png,,
BANNER_BROWN,BROWN_BANNER,Braunes Banner,customfont/all_items/banner_brown.png,,
BANNER_CYAN,CYAN_BANNER,Türkises Banner,customfont/all_items/banner_cyan.png,,
BANNER_GRAY,GRAY_BANNER,Graues Banner,customfont/all_items/banner_gray.png,,
BANNER_GREEN,GREEN_BANNER,Grünes Banner,customfont/all_items/banner_green.png,,
BANNER_LIGHT_BLUE,LIGHT_BLUE_BANNER,Hellblaues Banner,customfont/all_items/banner_light_blue.png,,
BANNER_LIGHT_GRAY,LIGHT_GRAY_BANNER,Hellgraues Banner,customfont/all_items/banner_light_gray.png,,
BANNER_LIME,LIME_BANNER,Hellgrünes Banner,customfont/all_items/banner_lime.png,,
BANNER_MAGENTA,MAGENTA_BANNER,Magenta Banner,customfont/all_items/banner_magenta.png,,
BANNER_OMINOUS,WHITE_BANNER,Unheilvolles Banner,customfont/all_items/banner_ominous.png,,block.minecraft.ominous_banner
BANNER_ORANGE,ORANGE_BANNER,Oranges Banner,customfont/all_items/banner_orange.png,,
BANNER_PATTERN_CREPPER,CREEPER_BANNER_PATTERN,Bannervorlage (Creeper),item/creeper_banner_pattern.png,,
BANNER_PATTERN_FLOWER,FLOWER_BANNER_PATTERN,Bannervorlage (Blume),item/flower_banner_pattern.png,,
BANNER_PATTERN_GLOBE,GLOBE_BANNER_PATTERN,Bannervorlage (Globus),item/globe_banner_pattern.png,,
BANNER_PATTERN_SKULL_CHARGE,SKULL_BANNER_PATTERN,Bannervorlage (Schädel),item/skull_banner_pattern.png,,
BANNER_PATTERN_SNOUT,PIGLIN_BANNER_PATTERN,Bannervorlage (Schnauze),item/piglin_banner_pattern.png,,
BANNER_PATTERN_THING,MOJANG_BANNER_PATTERN,Bannervorlage (Mojang-Logo),item/mojang_banner_pattern.png,,
BANNER_PINK,PINK_BANNER,Rosa Banner,customfont/all_items/banner_pink.png,,
BANNER_PURPLE,PURPLE_BANNER,Violettes Banner,customfont/all_items/banner_purple.png,,
BANNER_RED,RED_BANNER,Rotes Banner,customfont/all_items/banner_red.png,,
BANNER_WHITE,WHITE_BANNER,Weißes Banner,customfont/all_items/banner_white.png,,
BANNER_YELLOW,YELLOW_BANNER,Gelbes Banner,customfont/all_items/banner_yellow.png,,
BARREL,BARREL,Fass,customfont/all_items/barrel.png,,
BASALT,BASALT,Basalt,customfont/all_items/basalt.png,,
BEACON,BEACON,Leuchtfeuer,customfont/all_items/beacon.png,,
BED_BLACK,BLACK_BED,Schwarzes Bett,customfont/all_items/bed_black.png,,
BED_BLUE,BLUE_BED,Blaues Bett,customfont/all_items/bed_blue.png,,
BED_BROWN,BROWN_BED,Braunes Bett,customfont/all_items/bed_brown.png,,
BED_CYAN,CYAN_BED,Türkises Bett,customfont/all_items/bed_cyan.png,,
BED_GRAY,GRAY_BED,Graues Bett,customfont/all_items/bed_gray.png,,
BED_GREEN,GREEN_BED,Grünes Bett,customfont/all_items/bed_green.png,,
BED_LIGHT_BLUE,LIGHT_BLUE_BED,Hellblaues Bett,customfont/all_items/bed_light_blue.png,,
BED_LIGHT_GRAY,LIGHT_GRAY_BED,Hellgraues Bett,customfont/all_items/bed_light_gray.png,,
BED_LIME,LIME_BED,Hellgrünes Bett,customfont/all_items/bed_lime.png,,
BED_MAGENTA,MAGENTA_BED,Magenta Bett,customfont/all_items/bed_magenta.png,,
BED_ORANGE,ORANGE_BED,Oranges Bett,customfont/all_items/bed_orange.png,,
BED_PINK,PINK_BED,Rosa Bett,customfont/all_items/bed_pink.png,,
BED_PURPLE,PURPLE_BED,Violettes Bett,customfont/all_items/bed_purple.png,,
BED_RED,RED_BED,Rotes Bett,customfont/all_items/bed_red.png,,
BED_WHITE,WHITE_BED,Weißes Bett,customfont/all_items/bed_white.png,,
BED_YELLOW,YELLOW_BED,Gelbes Bett,customfont/all_items/bed_yellow.png,,
BEE_NEST,BEE_NEST,Bienennest,customfont/all_items/bee_nest.png,,
BEEF,BEEF,Rohes Rindfleisch,item/beef.png,,
BEEF_COOKED,COOKED_BEEF,Steak,item/cooked_beef.png,,
BEEHIVE,BEEHIVE,Bienenstock,customfont/all_items/beehive.png,,
BEETROOT,BEETROOT,Rote Bete,item/beetroot.png,,
BEETROOT_SEEDS,BEETROOT_SEEDS,Rote Bete Samen,item/beetroot_seeds.png,,
BEETROOT_SOUP,BEETROOT_SOUP,Borschtsch,item/beetroot_soup.png,,
BELL,BELL,Glocke,item/bell.png,,
BIRCH_BOAT,BIRCH_BOAT,Birkenboot,item/birch_boat.png,,
BIRCH_BUTTON,BIRCH_BUTTON,Birkenknopf,customfont/all_items/button_birch.png,,
BIRCH_CHEST_BOAT,BIRCH_CHEST_BOAT,Birkentruhenboot,item/birch_chest_boat.png,,
BIRCH_DOOR,BIRCH_DOOR,Birkentür,item/birch_door.png,,
BIRCH_FENCE,BIRCH_FENCE,Birkenzaun,customfont/all_items/fence_birch.png,,
BIRCH_FENCE_GATE,BIRCH_FENCE_GATE,Birkenzauntor,customfont/all_items/fence_gate_birch.png,,
BIRCH_HANGING_SIGN,BIRCH_HANGING_SIGN,Birkenhängeschild,item/birch_hanging_sign.png,,
BIRCH_LEAVES,BIRCH_LEAVES,Birkenlaub,customfont/all_items/birch_leaves.png,,
BIRCH_LOG,BIRCH_LOG,Birkenstamm,customfont/all_items/birch_log.png,,
BIRCH_LOG_STRIPPED,STRIPPED_BIRCH_LOG,Entrindeter Birkenstamm,customfont/all_items/stripped_birch_log.png,,
BIRCH_PLANKS,BIRCH_PLANKS,Birkenbretter,customfont/all_items/birch_planks.png,,
BIRCH_PRESSURE_PLATE,BIRCH_PRESSURE_PLATE,Birkendruckplatte,customfont/all_items/pressure_plate_birch.png,,
BIRCH_SAPLING,BIRCH_SAPLING,Birkensetzling,block/birch_sapling.png,,
BIRCH_SIGN,BIRCH_SIGN,Birkenschild,item/birch_sign.png,,
BIRCH_SLAB,BIRCH_SLAB,Birkenstufe,customfont/all_items/slab_birch.png,,
BIRCH_STAIRS,BIRCH_STAIRS,Birkentreppe,customfont/all_items/stairs_birch.png,,
BIRCH_TRAPDOOR,BIRCH_TRAPDOOR,Birkenfalltür,customfont/all_items/trapdoor_birch.png,,
BIRCH_WOOD,BIRCH_WOOD,Birkenholz,customfont/all_items/birch_wood.png,,
BIRCH_WOOD_STRIPPED,STRIPPED_BIRCH_WOOD,Entrindetes Birkenholz,customfont/all_items/stripped_birch_wood.png,,
BLACKSTONE,BLACKSTONE,Schwarzstein,customfont/all_items/blackstone.png,,
BLACKSTONE_SLAB,BLACKSTONE_SLAB,Schwarzsteinstufe,customfont/all_items/slab_blackstone.png,,
BLACKSTONE_STAIRS,BLACKSTONE_STAIRS,Schwarzsteintreppe,customfont/all_items/stairs_blackstone.png,,
BLACKSTONE_WALL,BLACKSTONE_WALL,Schwarzsteinmauer,customfont/all_items/wall_blackstone.png,,
BLAST_FURNACE,BLAST_FURNACE,Schmelzofen,customfont/all_items/blastfurnace.png,,
BLAZE_POWDER,BLAZE_POWDER,Lohenstaub,item/blaze_powder.png,,
BLAZE_ROD,BLAZE_ROD,Lohenrute,item/blaze_rod.png,,
BONE,BONE,Knochen,item/bone.png,,
BONE_BLOCK,BONE_BLOCK,Knochenblock,customfont/all_items/boneblock.png,,
BONE_MEAL,BONE_MEAL,Knochenmehl,item/bone_meal.png,,
BOOK,BOOK,Buch,item/book.png,,
BOOK_AND_QUIL,WRITABLE_BOOK,Buch und Feder,item/writable_book.png,,
BOOK_ENCHANTED,ENCHANTED_BOOK,Verzaubertes Buch,customfont/all_items/enchanted_book.png,,
BOOK_WRITTEN,WRITTEN_BOOK,Beschriebenes Buch,item/written_book.png,,
BOOKSHELF,BOOKSHELF,Bücherregal,customfont/all_items/bookshelf.png,,
BOW,BOW,Bogen,item/bow.png,,
BOWL,BOWL,Schüssel,item/bowl.png,,
BREAD,BREAD,Brot,item/bread.png,,
BREWING_STAND,BREWING_STAND,Braustand,item/brewing_stand.png,,
BRICK,BRICK,Ziegel,item/brick.png,,
BRICK_SLAB,BRICK_SLAB,Ziegelstufe,customfont/all_items/slab_bricks.png,,
BRICK_STAIRS,BRICK_STAIRS,Ziegeltreppe,customfont/all_items/stairs_bricks.png,,
BRICK_WALL,BRICK_WALL,Ziegelsteinmauer,customfont/all_items/wall_bricks.png,,
BRICKS,BRICKS,Ziegelsteine,customfont/all_items/bricks.png,,
BRUSH,BRUSH,Pinsel,item/brush.png,,
BUCKET,BUCKET,Eimer,item/bucket.png,,
BUCKET_AXOLOTL,AXOLOTL_BUCKET,Axolotleimer,item/axolotl_bucket.png,,
BUCKET_COD,COD_BUCKET,Kabeljaueimer,item/cod_bucket.png,,
BUCKET_LAVA,LAVA_BUCKET,Lavaeimer,item/lava_bucket.png,,
BUCKET_MILK,MILK_BUCKET,Milcheimer,item/milk_bucket.png,,
BUCKET_POWDER_SNOW,POWDER_SNOW_BUCKET,Pulverschneeeimer,item/powder_snow_bucket.png,,
BUCKET_PUFFERFISH,PUFFERFISH_BUCKET,Kugelfischeimer,item/pufferfish_bucket.png,,
BUCKET_SALMON,SALMON_BUCKET,Lachseimer,item/salmon_bucket.png,,
BUCKET_TADPOLE,TADPOLE_BUCKET,Kaulquappeneimer,item/tadpole_bucket.png,,
BUCKET_TROPICAL_FISH,TROPICAL_FISH_BUCKET,Tropenfischeimer,item/tropical_fish_bucket.png,,
BUCKET_WATER,WATER_BUCKET,Wassereimer,item/water_bucket.png,,
CACTUS,CACTUS,Kaktus,customfont/all_items/cactus.png,,
CAKE,CAKE,Kuchen,item/cake.png,,
CALCITE,CALCITE,Kalzit,customfont/all_items/calcite.png,,
CALIBRATED_SCULK_SENSOR,CALIBRATED_SCULK_SENSOR,Kalibrierter Sculk-Sensor,customfont/all_items/calibrated_sculk_sensor.png,,
CAMPFIRE,CAMPFIRE,Lagerfeuer,customfont/all_items/campfire.png,,
CANDLE,CANDLE,Kerze,item/candle.png,,
CANDLE_BLACK,BLACK_CANDLE,Schwarze Kerze,item/black_candle.png,,
CANDLE_BLUE,BLUE_CANDLE,Blaue Kerze,item/blue_candle.png,,
CANDLE_BROWN,BROWN_CANDLE,Braune Kerze,item/brown_candle.png,,
CANDLE_CYAN,CYAN_CANDLE,Türkise Kerze,item/cyan_candle.png,,
CANDLE_GRAY,GRAY_CANDLE,Graue Kerze,item/gray_candle.png,,
CANDLE_GREEN,GREEN_CANDLE,Grüne Kerze,item/green_candle.png,,
CANDLE_LIGHT_BLUE,LIGHT_BLUE_CANDLE,Hellblaue Kerze,item/light_blue_candle.png,,
CANDLE_LIGHT_GRAY,LIGHT_GRAY_CANDLE,Hellgraue Kerze,item/light_gray_candle.png,,
CANDLE_LIME,LIME_CANDLE,Hellgrüne Kerze,item/lime_candle.png,,
CANDLE_MAGENTA,MAGENTA_CANDLE,Magenta Kerze,item/magenta_candle.png,,
CANDLE_ORANGE,ORANGE_CANDLE,Orange Kerze,item/orange_candle.png,,
CANDLE_PINK,PINK_CANDLE,Rosa Kerze,item/pink_candle.png,,
CANDLE_PURPLE,PURPLE_CANDLE,Violette Kerze,item/purple_candle.png,,
CANDLE_RED,RED_CANDLE,Rote Kerze,item/red_candle.png,,
CANDLE_YELLOW,YELLOW_CANDLE,Gelbe Kerze,item/yellow_candle.png,,
CARPET_BLACK,BLACK_CARPET,Schwarzer Teppich,customfont/all_items/carpet_black.png,,
CARPET_BLUE,BLUE_CARPET,Blauer Teppich,customfont/all_items/carpet_blue.png,,
CARPET_BROWN,BROWN_CARPET,Brauner Teppich,customfont/all_items/carpet_brown.png,,
CARPET_CYAN,CYAN_CARPET,Türkiser Teppich,customfont/all_items/carpet_cyan.png,,
CARPET_GRAY,GRAY_CARPET,Grauer Teppich,customfont/all_items/carpet_gray.png,,
CARPET_GREEN,GREEN_CARPET,Grüner Teppich,customfont/all_items/carpet_green.png,,
CARPET_LIGHT_BLUE,LIGHT_BLUE_CARPET,Hellblauer Teppich,customfont/all_items/carpet_light_blue.png,,
CARPET_LIGHT_GRAY,LIGHT_GRAY_CARPET,Hellgrauer Teppich,customfont/all_items/carpet_light_gray.png,,
CARPET_LIME,LIME_CARPET,Hellgrüner Teppich,customfont/all_items/carpet_lime.png,,
CARPET_MAGENTA,MAGENTA_CARPET,Magenta Teppich,customfont/all_items/carpet_magenta.png,,
CARPET_ORANGE,ORANGE_CARPET,Oranger Teppich,customfont/all_items/carpet_orange.png,,
CARPET_PINK,PINK_CARPET,Rosa Teppich,customfont/all_items/carpet_pink.png,,
CARPET_PURPLE,PURPLE_CARPET,Violetter Teppich,customfont/all_items/carpet_purple.png,,
CARPET_RED,RED_CARPET,Roter Teppich,customfont/all_items/carpet_red.png,,
CARPET_WHITE,WHITE_CARPET,Weißer Teppich,customfont/all_items/carpet_white.png,,
CARPET_YELLOW,YELLOW_CARPET,Gelber Teppich,customfont/all_items/carpet_yellow.png,,
CARROT,CARROT,Karotte,item/carrot.png,,
CARROT_GOLDEN,GOLDEN_CARROT,Goldene Karotte,item/golden_carrot.png,,
CARROT_ON_A_STICK,CARROT_ON_A_STICK,Karottenrute,item/carrot_on_a_stick.png,,
CARTOGRAPHY_TABLE,CARTOGRAPHY_TABLE,Kartentisch,customfont/all_items/cartography_table.png,,
CARVED_PUMPKIN,CARVED_PUMPKIN,Geschnitzter Kürbis,customfont/all_items/carved_pumpkin.png,,
CAULDRON,CAULDRON,Kessel,item/cauldron.png,,
CHAIN,CHAIN,Kette,item/chain.png,,
CHAINMAIL_BOOTS,CHAINMAIL_BOOTS,Kettenstiefel,item/chainmail_boots.png,,
CHAINMAIL_CHESTPLATE,CHAINMAIL_CHESTPLATE,Kettenhemd,item/chainmail_chestplate.png,,
CHAINMAIL_HELMET,CHAINMAIL_HELMET,Kettenhaube,item/chainmail_helmet.png,,
CHAINMAIL_LEGGINGS,CHAINMAIL_LEGGINGS,Kettenhose,item/chainmail_leggings.png,,
CHARCOAL,CHARCOAL,Holzkohle,item/charcoal.png,,
CHERRY_BOAT,CHERRY_BOAT,Kirschholzboot,item/cherry_boat.png,,
CHERRY_BUTTON,CHERRY_BUTTON,Kirschholzknopf,customfont/all_items/button_cherry.png,,
CHERRY_CHEST_BOAT,CHERRY_CHEST_BOAT,Kirschholztruhenboot,item/cherry_chest_boat.png,,
CHERRY_DOOR,CHERRY_DOOR,Kirschholztür,item/cherry_door.png,,
CHERRY_FENCE,CHERRY_FENCE,Kirschholzzaun,customfont/all_items/fence_cherry.png,,
CHERRY_FENCE_GATE,CHERRY_FENCE_GATE,Kirschholzzauntor,customfont/all_items/fence_gate_cherry.png,,
CHERRY_HANGING_SIGN,CHERRY_HANGING_SIGN,Kirschholzhängeschild,item/cherry_hanging_sign.png,,
CHERRY_LEAVES,CHERRY_LEAVES,Kirschlaub,customfont/all_items/cherry_leaves.png,,
CHERRY_LOG,CHERRY_LOG,Kirschstamm,customfont/all_items/cherry_log.png,,
CHERRY_LOG_STRIPPED,STRIPPED_CHERRY_LOG,Entrindeter Kirschstamm,customfont/all_items/stripped_cherry_log.png,,
CHERRY_PLANKS,CHERRY_PLANKS,Kirschholzbretter,customfont/all_items/cherry_planks.png,,
CHERRY_PRESSURE_PLATE,CHERRY_PRESSURE_PLATE,Kirschholzdruckplatte,customfont/all_items/pressure_plate_cherry.png,,
CHERRY_SAPLING,CHERRY_SAPLING,Kirschsetzling,block/cherry_sapling.png,,
CHERRY_SIGN,CHERRY_SIGN,Kirschholzschild,item/cherry_sign.png,,
CHERRY_SLAB,CHERRY_SLAB,Kirschholzstufe,customfont/all_items/slab_cherry.png,,
CHERRY_STAIRS,CHERRY_STAIRS,Kirschholztreppe,customfont/all_items/stairs_cherry.png,,
CHERRY_TRAPDOOR,CHERRY_TRAPDOOR,Kirschholzfalltür,customfont/all_items/trapdoor_cherry.png,,
CHERRY_WOOD,CHERRY_WOOD,Kirschholz,customfont/all_items/cherry_wood.png,,
CHERRY_WOOD_STRIPPED,STRIPPED_CHERRY_WOOD,Entrindetes Kirschholz,customfont/all_items/stripped_cherry_wood.png,,
CHEST,CHEST,Truhe,customfont/all_items/chest.png,,
CHICKEN,CHICKEN,Rohes Hühnchen,item/chicken.png,,
CHICKEN_COOKED,COOKED_CHICKEN,Gebratenes Hühnchen,item/cooked_chicken.png,,
CHISELED_BOOKSHELF,CHISELED_BOOKSHELF,Gearbeitetes Bücherregal,customfont/all_items/chiseled_bookshelf.png,,
CHISELED_DEEPSLATE,CHISELED_DEEPSLATE,Gemeißelter Tiefenschiefer,customfont/all_items/chiseled_deepslate.png,,
CHISELED_NETHER_BRICKS,CHISELED_NETHER_BRICKS,Gemeißelte Netherziegel,customfont/all_items/chiseled_nether_bircks.png,,
CHISELED_POLISHED_BLACKSTONE,CHISELED_POLISHED_BLACKSTONE,Gemeißelter polierter Schwarzstein,customfont/all_items/chiseled_polished_blackstone.png,,
CHISELED_QUARTZ_BLOCK,CHISELED_QUARTZ_BLOCK,Gemeißelter Quarzblock,customfont/all_items/chiseled_quartz_block.png,,
CHISELED_RED_SANDSTONE,CHISELED_RED_SANDSTONE,Gemeißelter roter Sandstein,customfont/all_items/chiseled_red_sandstone.png,,
CHISELED_SANDSTONE,CHISELED_SANDSTONE,Gemeißelter Sandstein,customfont/all_items/chiseled_sandstone.png,,
CHISELED_STONE_BRICKS,CHISELED_STONE_BRICKS,Gemeißelte Steinziegel,customfont/all_items/chiseled_stone_bricks.png,,
CHORUS_FLOWER,CHORUS_FLOWER,Chorusblüte,customfont/all_items/chorus_flower.png,,
CHORUS_FRUIT,CHORUS_FRUIT,Chorusfrucht,item/chorus_fruit.png,,
CLAY,CLAY,Ton,customfont/all_items/clay.png,,
CLAY_BALL,CLAY_BALL,Tonklumpen,item/clay_ball.png,,
CLOCK,CLOCK,Uhr,item/clock_00.png,,
COAL,COAL,Kohle,item/coal.png,,
COAL_BLOCK,COAL_BLOCK,Kohleblock,customfont/all_items/coal_block.png,,
COAL_ORE,COAL_ORE,Steinkohle,customfont/all_items/coal_ore.png,,
COAL_ORE_DEEPSLATE,DEEPSLATE_COAL_ORE,Tiefenschiefer-Steinkohle,customfont/all_items/deepslate_coal_ore.png,,
COARSE_DIRT,COARSE_DIRT,Grobe Erde,customfont/all_items/coarse_dirt.png,,
COBBLED_DEEPSLATE,COBBLED_DEEPSLATE,Bruchtiefenschiefer,customfont/all_items/cobbled_deepslate.png,,
COBBLED_DEEPSLATE_SLAB,COBBLED_DEEPSLATE_SLAB,Bruchtiefenschieferstufe,customfont/all_items/slab_cobbled_deepslate.png,,
COBBLED_DEEPSLATE_STAIRS,COBBLED_DEEPSLATE_STAIRS,Bruchtiefenschiefertreppe,customfont/all_items/stairs_cobbled_deepslate.png,,
COBBLED_DEEPSLATE_WALL,COBBLED_DEEPSLATE_WALL,Bruchtiefenschiefermauer,customfont/all_items/wall_cobbled_deepslate.png,,
COBBLESTONE,COBBLESTONE,Bruchstein,customfont/all_items/cobblestone.png,,
COBBLESTONE_SLAB,COBBLESTONE_SLAB,Bruchsteinstufe,customfont/all_items/slab_cobblestone.png,,
COBBLESTONE_STAIRS,COBBLESTONE_STAIRS,Bruchsteintreppe,customfont/all_items/stairs_cobblestone.png,,
COBBLESTONE_WALL,COBBLESTONE_WALL,Bruchsteinmauer,customfont/all_items/wall_cobblestone.png,,
COBWEB,COBWEB,Spinnennetz,block/cobweb.png,,
COCOA_BEANS,COCOA_BEANS,Kakaobohnen,item/cocoa_beans.png,,
COD,COD,Roher Kabeljau,item/cod.png,,
COD_COOKED,COOKED_COD,Gebratener Kabeljau,item/cooked_cod.png,,
COMPARATOR,COMPARATOR,Redstone-Komparator,item/comparator.png,,
COMPASS,COMPASS,Kompass,item/compass_00.png,,
COMPOSTER,COMPOSTER,Komposter,customfont/all_items/composter.png,,
CONCRETE_BLACK,BLACK_CONCRETE,Schwarzer Beton,customfont/all_items/black_concrete.png,,
CONCRETE_BLUE,BLUE_CONCRETE,Blauer Beton,customfont/all_items/blue_concrete.png,,
CONCRETE_BROWN,BROWN_CONCRETE,Brauner Beton,customfont/all_items/brown_concrete.png,,
CONCRETE_CYAN,CYAN_CONCRETE,Türkiser Beton,customfont/all_items/cyan_concrete.png,,
CONCRETE_GRAY,GRAY_CONCRETE,Grauer Beton,customfont/all_items/gray_concrete.png,,
CONCRETE_GREEN,GREEN_CONCRETE,Grüner Beton,customfont/all_items/green_concrete.png,,
CONCRETE_LIGHT_BLUE,LIGHT_BLUE_CONCRETE,Hellblauer Beton,customfont/all_items/light_blue_concrete.png,,
CONCRETE_LIGHT_GRAY,LIGHT_GRAY_CONCRETE,Hellgrauer Beton,customfont/all_items/light_gray_concrete.png,,
CONCRETE_LIME,LIME_CONCRETE,Hellgrüner Beton,customfont/all_items/lime_concrete.png,,
CONCRETE_MAGENTA,MAGENTA_CONCRETE,Magenta Beton,customfont/all_items/magenta_concrete.png,,
CONCRETE_ORANGE,ORANGE_CONCRETE,Oranger Beton,customfont/all_items/orange_concrete.png,,
CONCRETE_PINK,PINK_CONCRETE,Rosa Beton,customfont/all_items/pink_concrete.png,,
